Book Title,Book URL
Tipping the Velvet,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../tipping-the-velvet_999/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
A Flight of Arrows (The Pathfinders #2),https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../a-flight-of-arrows-the-pathfinders-2_876/index.html
The House by the Lake,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../the-house-by-the-lake_846/index.html
Mrs. Houdini,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../mrs-houdini_821/index.html
The Marriage of Opposites,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../the-marriage-of-opposites_759/index.html
Glory over Everything: Beyond The Kitchen House,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../glory-over-everything-beyond-the-kitchen-house_696/index.html
"Love, Lies and Spies",https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../love-lies-and-spies_622/index.html
A Paris Apartment,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../a-paris-apartment_612/index.html
Lilac Girls,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../lilac-girls_597/index.html
The Constant Princess (The Tudor Court #1),https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../the-constant-princess-the-tudor-court-1_493/index.html
The Invention of Wings,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../the-invention-of-wings_448/index.html
World Without End (The Pillars of the Earth #2),https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../world-without-end-the-pillars-of-the-earth-2_420/index.html
The Passion of Dolssa,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../the-passion-of-dolssa_351/index.html
Girl With a Pearl Earring,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../girl-with-a-pearl-earring_322/index.html
Voyager (Outlander #3),https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../voyager-outlander-3_299/index.html
The Red Tent,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../the-red-tent_273/index.html
The Last Painting of Sara de Vos,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../the-last-painting-of-sara-de-vos_259/index.html
The Guernsey Literary and Potato Peel Pie Society,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Girl in the Blue Coat,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html../../../girl-in-the-blue-coat_160/index.html
Between Shades of Gray,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html../../../between-shades-of-gray_128/index.html
While You Were Mine,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html../../../while-you-were-mine_97/index.html
The Secret Healer,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html../../../the-secret-healer_80/index.html
Starlark,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html../../../starlark_56/index.html
Lost Among the Living,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html../../../lost-among-the-living_31/index.html
A Spy's Devotion (The Regency Spies of London #1),https://books.toscrape.com/catalogue/category/books/historical-fiction_4/page-2.html../../../a-spys-devotion-the-regency-spies-of-london-1_3/index.html
